date,Excess_Market_Return,smb,HML,RMW,CMA,Please cite the following paper if you use the data:
29-Feb-08,-0.00679357,-0.063236631,-0.075825432,-0.043440204,0.031645927,
31-Mar-08,-0.045073917,-0.044421798,0.045841018,-0.004480634,0.000707236,
30-Apr-08,0.039112617,-0.029098647,-0.024863754,-0.006053136,-0.022089268,
31-May-08,0.017128476,0.016318046,-0.120688853,-0.104936136,-0.010880322,
30-Jun-08,-0.084052264,-0.045110268,-0.072464781,-0.00256512,0.053019516,
31-Jul-08,-0.054260531,-0.008564668,0.122628151,0.062214964,-0.007583906,
31-Aug-08,0.033746564,-0.045098456,0.040031665,0.064220192,0.030390209,
30-Sep-08,-0.108478285,-0.010735734,0.053813503,0.065217026,0.086988458,
31-Oct-08,-0.135417502,-0.055160457,0.055979606,0.069261772,0.1077375,
30-Nov-08,-0.07477585,-0.071270817,0.00987995,0.033466345,-0.026815058,
31-Dec-08,-0.001747525,-0.019457721,-0.037027385,-0.055202831,-0.047055241,
31-Jan-09,-0.045525873,0.007707944,-0.007470644,-0.03331836,-0.011656027,
28-Feb-09,-0.051814651,0.020334373,-0.091329708,0.018268555,-0.093884588,
31-Mar-09,0.071420465,0.009683856,0.052429775,0.069846658,-0.036310016,
30-Apr-09,0.062362864,0.037268426,0.041341092,-0.009863133,-0.065641948,
31-May-09,0.020305198,0.069381924,0.018780647,-0.029753226,-0.02674445,
30-Jun-09,0.030060659,-0.040507587,-0.005676276,0.03477715,-0.021059639,
31-Jul-09,0.073588226,0.0112955,0.035262845,0.08712993,0.014835094,
31-Aug-09,0.058529517,0.068186635,0.014372822,0.005344186,0.001759128,
30-Sep-09,0.052511765,0.074783144,0.018078327,-0.030056699,0.002663855,
31-Oct-09,-0.022233501,0.042418959,-0.000569307,0.06654094,0.018287279,
30-Nov-09,0.014517,-0.018392705,-0.001757017,0.023596616,0.029379031,
31-Dec-09,0.033117696,-0.052464979,0.0336689,0.017104991,-0.007621642,
31-Jan-10,-0.056523495,0.043263273,0.008582979,-0.008027579,0.000697217,
28-Feb-10,0.004948969,-0.056389007,-0.000263696,0.002121682,0.012108341,
31-Mar-10,0.057708287,-0.021510758,-0.021892015,-0.024312308,-0.048456899,
30-Apr-10,-0.026352352,0.02917774,0.0171478,-0.031102545,0.020734994,
31-May-10,-0.075348436,-0.039051202,0.025386211,0.006359938,0.019994362,
30-Jun-10,-0.032307795,-0.045556759,-0.008357422,0.014485109,0.009435693,
31-Jul-10,0.035263208,0.046059001,0.044306407,-0.001386956,-0.025920001,
31-Aug-10,-0.013205737,0.016198829,-0.001003017,-0.036982664,0.006831945,
30-Sep-10,0.044878059,0.077741396,-0.051734468,-0.042339023,-0.041214456,
31-Oct-10,0.019616942,0.011630451,-0.0160998,-0.002440616,0.004867567,
30-Nov-10,-0.006027564,0.0246977,-0.002212632,-0.019286423,-0.001083934,
31-Dec-10,0.032210812,0.019468018,-0.005007953,-0.038896528,-0.02540918,
31-Jan-11,0.000192452,0.030578316,0.009319419,0.016205772,0.019455006,
28-Feb-11,0.016034395,-0.004739498,-0.018767706,0.01510933,0.005180306,
31-Mar-11,0.000881891,-0.022707121,0.000483535,0.026903655,-0.013566904,
